URL,Ubicación,Precio ARS,Precio USD,Expensas,Sup. cubierta [m²],Dormitorios,Antiguedad [años],Baños,Ambientes,Cocheras,Estado,Disposición,Orientación,Antigüedad [años],Sup. terreno [m²],Toilettes,Sup. total [m²],Plantas,Apto profesional,Tipo de cochera,Tipo de cobertura,Tipo de coche,Tipo de acceso,Permite mascota,Longitud del frente,Longitud del fondo,FOT,Altura Techo,Seguridad,Tipo de local,En Edificio,Galería/Shopping,Tipo de Baño,Sup. descubierta [m²],Agua corriente,Superficie Total,Longitud del Frente,Longitud del Fondo,Tipo de Terreno,Sup. Total,Superficie cubierta,Cantidad baños,Sup. Cubierta,Pileta,Toilletes,Habitaciones,Descripción
https://www.argenprop.com/departamento-en-alquiler-en-caballito-3-ambientes--11894005,Calasanz 600,,600,22000,64.0,2,25.0,1.0,3,1.0,Excelente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--14135376,Billinghurst al 1000,,650,1,55.0,1,20.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-caballito-1-ambiente--14051636,Hidalgo al 800,,550,,36.0,,30.0,1.0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-countries-y-barrios-cerrados-en-pilar-4-ambientes--13330399,Casa en alquiler anual en Highland Park,,2000,,300.0,3,,3.0,4,2.0,,,,30,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-nordelta-la-isla-7-ambientes--14101169,"Casa en alquiler en La Isla 98, Nordleta",,6000,,405.0,4,,6.0,7,2.0,,,,8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-martinez-santa-fe-fleming-4-ambientes--14062986,Carlos Pellegrini 1721,,1800,,155.0,3,,2.0,4,1.0,,,,12,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-la-tranquera-4-ambientes--12755606,La Tranquera,,800,,200.0,3,,3.0,4,2.0,,,,A Estrenar,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/cochera-en-alquiler-en-centro-1-ambiente--14431959,Chacabuco 100,14600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/local-en-alquiler-en-belgrano--12710811,Av. del Libertador  al 5700,2273848,,,,,,,,,,,,,,,160.0,1 planta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-nordelta-8-ambientes--14031675,Los Castores 423,,3500,,300.0,4,,3.0,8,1.0,,,,8,300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/oficina-en-alquiler-en-palermo--12649955,"Juncal 3100, Piso PB",165000,,21000,,,,1.0,,,Bueno,,Sur,50,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-la-canada-los-arces-4-ambientes--12821097,Los Arces,,1100,,140.0,3,,2.0,4,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-ayres-de-pilar-6-ambientes--13426609,"INCREIBLE CASA EN AYRES DE PILAR, DOBLE LOTE",,3500,,587.0,5,,4.0,6,2.0,,,,16,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--12674364,FIGUEROA ALCORTA  al 3500,,7500,,213.0,3,13.0,1.0,4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-pilar-del-este-santa-lucia-4-ambientes--12805893,Santa Lucia,,700,,141.0,3,,3.0,4,2.0,,,,A Estrenar,469.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-martinez-8-ambientes--12721680,Las Heras 2500,,5000,,440.0,4,,7.0,8,8.0,,,,70,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-4-ambientes--13249469,Gelly Y Obes 2200,,2000,100000,163.0,3,45.0,3.0,4,1.0,Muy Bueno,Frente,Norte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-martinez-libertador-rio-6-ambientes--14235728,Lavalle  al 2200 esquina Muñiz,,2400,,250.0,4,,3.0,6,1.0,,,,20,323.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-habitat-residencias-4-ambientes--13427383,"Habitat, Habitat Residencias Pilar",,1200,,150.0,3,,2.0,4,2.0,Muy Bueno,,,5,364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-c-3-ambientes--12750920,DRAGONES 2200,,1800,50000,94.0,2,,2.0,3,1.0,Excelente,Frente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/local-en-alquiler-en-caballito--12898534,Av. Directorio  al 100,250000,,,,,,1.0,,,,,,40,,,,1 planta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-5-ambientes--13235919,FIGUEROA ALCORTA PRES. AV. 3700,,5000,,332.0,4,40.0,5.0,5,2.0,Excelente,Frente,Este,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-saavedra-3-ambientes--14398968,Washington 3600,,850,,135.0,2,,1.0,3,1.0,Bueno,,,60,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--14434506,"Av. Santa Fe 1800, Piso 3",230000,,36500,48.0,1,40.0,1.0,2,,Muy Bueno,Contra frente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--13277634,AV DEL LIBERTADOR 8500,600000,,50000,50.0,1,,,2,,Excelente,Frente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/oficina-en-alquiler-en-palermo--13237293,Avenida Libertador al 6000,1150000,,35000,140.0,,,2.0,,1.0,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-palermo-10-ambientes--13188242,Eduardo Costa  al 3000,,7500,,950.0,5,,,10,5.0,,,,A Estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/oficina-en-alquiler-en-palermo--12630582,Luis Maria Campos al 1100,,114000,,3.0,,,,,21.0,,,,A Estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-santa-barbara-7-ambientes--12229405,"Alquiler  de verano y alquiler Anual Amoblado a La Laguna en Santa Barbara, Bancalari.",,4200,,400.0,4,,3.0,7,2.0,,,,20,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-pilar-del-este-santa-lucia-5-ambientes--12788276,Santa Lucia,,900,,141.0,3,,3.0,5,2.0,,,,A Estrenar,430.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-los-pilares-5-ambientes--12534384,LOS PILARES,,1950,,171.0,3,,3.0,5,2.0,,,,A Estrenar,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-3-ambientes--13434094,Uriarte al 1400,,650,,55.0,2,40.0,1.0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-la-lomada-de-pilar-8-ambientes--12490596,Muy linda casa en venta y alquiler en el Barrio La Lomada,,3000,,400.0,5,,4.0,8,2.0,,,,19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/cochera-en-alquiler-en-centro-1-ambiente--12616351,Entre Ríos 100,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-highland-park-country-club-6-ambientes--12757140,Consultar dirección,,4000,,780.0,5,,8.0,6,7.0,Excelente,,Norte,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--12964879,"Arenales 1789, CABA, Argentina",,500,10000,25.0,1,50.0,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-mayling-club-de-campo-6-ambientes--12815215,Casa en venta y alquiler en Mayling Club de Campo,,2400,,235.0,3,,2.0,6,1.0,,,,19,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-parque-chas--14371668,"Av Alvarez Thomas 2900, Piso 3",,250,10000,32.0,1,40.0,1.0,,,Excelente,Frente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-pilar-centro--12065834,San Luis al 400,500000,,,,,,,,,,,,0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--13574492,"Fray Justo Santa Maria De Oro 2700, Piso 2",,700,,37.0,1,,1.0,2,,Excelente,Contra Frente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-ayres-de-pilar-8-ambientes--12436828,Casa de excelente calidad en alquiler anual,,3300,,375.0,4,,3.0,8,2.0,,,,15,905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-palermo-1-ambiente--13647688,Mario Bravo al 1300,,700,,,,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-martinez-vias-santa-fe-1-ambiente--13106956,Gral Piran  100,,1500,,,,,,0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-la-lucila-libertador-rio-3-ambientes--14267628,"Av. del Libertador 3655, 10º, La Lucila, Provincia de Buenos Aires, Argentina",,1250,,85.0,2,20.0,2.0,3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--12814149,Dorrego  2579 9º,,950,53763,64.0,1,,1.0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-ayres-de-pilar-5-ambientes--12141328,"AYRES DE PILAR, PANAMERICANA KM 43,5",,2600,,287.0,4,,3.0,5,2.0,,,,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--8314241,Marcelo T De Alvear  1600,,1400,,25.0,,,1.0,0,,,Frente,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
