URL,Ubicación,Precio ARS,Precio USD,Expensas,Sup. cubierta [m²],Dormitorios,Baños,Ambientes,Cocheras,Sup. terreno [m²],Antiguedad [años],Estado
https://www.argenprop.com/departamento-en-alquiler-en-san-isidro-4-ambientes--12704317,Alsina al 400,,1200.0,,73.0,2.0,2.0,4.0,2.0,,0.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-3-ambientes--14435993,Eslovenia,,1300.0,,117.0,2.0,2.0,3.0,,,0.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-belgrano-6-ambientes--13226197,Gorostiaga  2000,,6500.0,,500.0,5.0,5.0,6.0,,,,Bueno
https://www.argenprop.com/casa-en-alquiler-en-altos-de-campo-grande-5-ambientes--11462433,Altos De Campo Grande,,1700.0,,290.0,4.0,5.0,5.0,4.0,,0.0,Excelente
https://www.argenprop.com/departamento-en-alquiler-en-palermo-2-ambientes--14395299,Av. Cerviño  y Ugarteche,,480.0,35000.0,48.0,1.0,1.0,2.0,,,15.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-1-ambiente--14371770,Baez 644-Piso 3 Nic Cañitas,300000.0,272.72727272727275,19450.0,26.0,1.0,1.0,0.0,,,8.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-barrancas-4-ambientes--14432547,Jose Hernandez  al 1800,,4000.0,130000.0,164.0,2.0,3.0,4.0,1.0,,50.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-palermo-hollywood-2-ambientes--14388098,Amenabar 30,,1000.0,55000.0,40.0,1.0,1.0,2.0,1.0,,5.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-boating-club-4-ambientes--13244273,"Boating Club, Presidente Uriburu 1000, Piso PB",,2100.0,85000.0,100.0,3.0,3.0,4.0,1.0,,0.0,Excelente
https://www.argenprop.com/casa-en-alquiler-en-belgrano-5-ambientes--14432762,Ramsay 2025 CASAS,,13000.0,,550.0,4.0,4.0,5.0,4.0,,2.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-3-ambientes--14345981,Sucre  y Av. Crámer,,700.0,20000.0,60.0,2.0,1.0,3.0,,,0.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-4-ambientes--14433845,3 de febrero al 1210,,1800.0,160000.0,115.0,2.0,2.0,4.0,1.0,,30.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-palermo-chico-5-ambientes--14359442,Av. Libertador  al 2100,,5000.0,200000.0,180.0,3.0,2.0,5.0,1.0,,0.0,Bueno
https://www.argenprop.com/casa-en-alquiler-en-nordelta--13378534,Los Alisos al 200,,2200.0,,220.0,4.0,3.0,,2.0,590.0,6.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-3-ambientes--14346875,Soldado de la Independencia al 1000,,800.0,,55.0,2.0,1.0,3.0,,,45.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-2-ambientes--14433313,SOLDADO DE LA INDEPENDENCIA 1100,,800.0,,44.0,1.0,1.0,2.0,,,12.0,Bueno
https://www.argenprop.com/departamento-en-alquiler-en-las-canitas-4-ambientes--14387753,Arce  al 300,,3500.0,235000.0,175.0,3.0,3.0,4.0,3.0,,15.0,Bueno
