URL,Ubicación,Precio ARS,Precio USD,Sup. cubierta,Dormitorios,Antigüedad,Baños,Ambientes,Cocheras,Toilettes,Sup. terreno,Expensas,Estado,Disposición,Orientación,Tipo de local,Sup. total,Plantas,En Edificio,Antiguedad,Apto profesional,Seguridad,Permite mascota,Tipo de Baño,Longitud del frente,Longitud del fondo,Superficie Total,Sup. descubierta,Longitud del Frente,Longitud del Fondo,Habitaciones,FOT,Altura Techo,Agua corriente,Tipo de cochera,Tipo de cobertura,Tipo de acceso,Tipo de Terreno,Sup. Total,Tipo de coche,Galería/Shopping,Toilletes,Superficie cubierta,Descripción,Cantidad baños,Sup. Cubierta,Pileta
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--9050610,"Av Callao 1200, Piso 17",,1,,1 dormitorio,,1 baño,2 ambientes,,,,No se encontraron expensas,Excelente,Frente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/local-en-alquiler-en-belgrano-1-ambiente--13179647,Avenida Cabildo 2200,,,,,,,,,,,No se encontraron expensas,,,,,22  m² Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--13923566,"Av Tte Gral Donato Alvarez 800, Piso 3",,,44  m² Cubierta,1 dormitorio,,1 baño,2 ambientes,1 cocheras,,,+ $25.000 expensas,Excelente,Frente,,,,,,3 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-nordelta-7-ambientes--13329759,Avda del golf al 1700,,9,500  m² Cubierta,4 dormitorios,7 años,4 baños,7 ambientes,2 cocheras,,1.150  m² Terreno,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano--11707600,"Franklin D Roosevelt 2600, Piso 2",,,,,,,,,,,+ $15.000 expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-2-ambientes--14420870,La Pampa al 800,,1,76  m² Cubierta,1 dormitorio,,2 baños,2 ambientes,1 cocheras,,,+ $53.000 expensas,,,,,,,,A Estrenar,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/casa-en-alquiler-en-abasto-8-ambientes--14421087,Corrientes al 2000,,,250  m² Cubierta,3 dormitorios,50 años,2 baños,8 ambientes,,,,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-palermo-4-ambientes--14409065,Cerviño al 3900,,,130  m² Cubierta,3 dormitorios,,2 baños,4 ambientes,1 cocheras,,,+ $140.000 expensas,,,,,,,,50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-recoleta-1-ambiente--14288565,Pueyrredon 2300,,,,,,1 baño,Monoambiente,,,,No se encontraron expensas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.argenprop.com/departamento-en-alquiler-en-belgrano-5-ambientes--13348357,Cazadores al 2200,,2,160  m² Cubierta,3 dormitorios,,4 baños,5 ambientes,2 cocheras,,,+ $120.000 expensas,,,,,,,,15 años,,,,,,,,,,,,,,,,,,,,,,,,,,,
